"Name","Author","Year","Price","User_Rating","Reviews","Genre"
"Wild: From Lost to Found on the Pacific Crest Trail","Cheryl Strayed","2012","18","4.4","17044","Non Fiction"
"Winter of the World: Book Two of the Century Trilogy","Ken Follett","2012","15","4.5","10760","Fiction"
"Women Food and God: An Unexpected Path to Almost Everything","Geneen Roth","2010","11","4.2","1302","Non Fiction"
"Wonder","R. J. Palacio","2013","9","4.8","21625","Fiction"
"Wonder","R. J. Palacio","2014","9","4.8","21625","Fiction"
"Wonder","R. J. Palacio","2015","9","4.8","21625","Fiction"
"Wonder","R. J. Palacio","2016","9","4.8","21625","Fiction"
"Wonder","R. J. Palacio","2017","9","4.8","21625","Fiction"
"Wrecking Ball (Diary of a Wimpy Kid Book 14)","Jeff Kinney","2019","8","4.9","9413","Fiction"
"You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life","Jen Sincero","2016","8","4.7","14331","Non Fiction"
"You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life","Jen Sincero","2017","8","4.7","14331","Non Fiction"
"You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life","Jen Sincero","2018","8","4.7","14331","Non Fiction"
"You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life","Jen Sincero","2019","8","4.7","14331","Non Fiction"
